673231, 673231, WorldRef_Z, USA1, 
73828819, 73828819, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR69.TWORLDREF
141169137, 141169137, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR52.TWORLDREF
158855850, 158855850, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR37.TWORLDREF
202036081, 202036081, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR33.TWORLDREF
210969854, 210969854, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR13_001.TWORLDREF
243655639, 243655639, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR59.TWORLDREF
275320720, 275320720, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR25.TWORLDREF
288484830, 288484830, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR44.TWORLDREF
353644107, 353644107, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR21.TWORLDREF
402788820, 402788820, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_BOYSENCANYON.TWORLDREF
514827777, 514827777, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR70.TWORLDREF
550387602, 550387602, WorldRef_Z, USA1, 
556705470, 556705470, WorldRef_Z, USA1, DB:>LEVELS>COURSES2>QUARTIER_1>3DNODEGEOMETRY>CR18.TWORLDREF
558906160, 558906160, WorldRef_Z, USA1, 
561696048, 561696048, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>CR36.TWORLDREF
582776131, 582776131, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR17.TWORLDREF
622603368, 622603368, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR5.TWORLDREF
703966297, 703966297, WorldRef_Z, USA1, DB:>LEVELS>HUBS>QUARTIER_1>3DNODEGEOMETRY>HUB_TANKER.TWORLDREF
734907578, 734907578, WorldRef_Z, USA1, DB:>LEVELS>COURSES1>QUARTIER_1>3DNODEGEOMETRY>CR28.TWORLDREF
799870522, 799870522, WorldRef_Z, USA1, DB:>LEVELS>COURSES3>QUARTIER_1>3DNODEGEOMETRY>CR49.TWORLDREF
